"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"150","@somala_dinesh @iamnagarjuna @aakanksha_s30 Tag cheyalsina papa peru tag chesaka .. bodi M lo nag leru tag chesthe… https://t.co/iU06n6hrpf",FALSE,1,"somala_dinesh",2018-09-27 02:06:56,TRUE,"1045120781909454848","1045132652364402693","1939663075","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nikil_verma",0,FALSE,FALSE,NA,NA
"151","Passionate Peruvian fans flood World Cup’s smallest city: On Saturday, as Peru takes on Denmark in its World Cup op… https://t.co/9gv5TTGYr8",FALSE,0,NA,2018-09-27 01:18:04,TRUE,NA,"1045120354383872000",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Woburn_MA",0,FALSE,FALSE,NA,NA
"152","Thank you @MCAF_NEAQ @CenterOceanLife @NEAQ for bringing us this wonderful evening with Kerstin Forsberg… https://t.co/VyxgouL1ty",FALSE,2,NA,2018-09-26 23:36:55,TRUE,NA,"1045094897647259648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","W2Oorg",2,FALSE,FALSE,NA,NA
"153","Discover intimate and unique Sonesta Posadas del Inca, urban and country inns that are embedded in the rich culture… https://t.co/lsHeLBlsje",FALSE,0,NA,2018-09-26 23:30:01,TRUE,NA,"1045093163642368003",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SonestaHotels",0,FALSE,FALSE,NA,NA
"154","Aprueba Dios Todas Las Religiones? (Audio Discurso de 29 Minutos, 48 segundos) 
https://t.co/ErUQtHL2Pi

#Bible… https://t.co/v0B55ybsBI",FALSE,0,NA,2018-09-26 19:14:37,TRUE,NA,"1045028890329174022",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BostonRoca",0,FALSE,FALSE,NA,NA
"155","RT @mfaboston: Who doesn’t want a tunic embellished with lobsters? Perfect for #NationalLobsterDay! (<U+0001F3A8>: Female effigy bottle, Nasca, 550–65…",FALSE,0,NA,2018-09-26 18:49:51,FALSE,NA,"1045022655148150785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dcd728",5,TRUE,FALSE,NA,NA
"156","RT @HarvardChanSLFP: .@harvardchansph Senior Leadership Fellow, @Pattyjannet1, talks #mentorship on @voiceshsph. For the full interview, vi…",FALSE,0,NA,2018-09-26 18:44:48,FALSE,NA,"1045021385452589060",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pattyjannet1",2,TRUE,FALSE,NA,NA
"157","Increíble que aún exista en Peru eso de llamar “pitucos” al que vive en Miraflores y San Isidro, mi hijo y mi madre… https://t.co/Zj1Ej28efW",FALSE,1,NA,2018-09-26 18:42:00,TRUE,NA,"1045020681128173569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GiraldoJC",0,FALSE,FALSE,NA,NA
"158","The world is being #blessed with some new SUPER CUTE mappers: Peruvian river dolphins :)

Loreto: delfines de río s… https://t.co/AkkfdFsD10",FALSE,0,NA,2018-09-26 17:24:12,TRUE,NA,"1045001101697851392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DWaltersdorfer",0,FALSE,FALSE,NA,NA
"159","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 15:23:43,FALSE,NA,"1044970780772249601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ilyasaurus",8,TRUE,FALSE,NA,NA
"160","RT @BochCenter: @CHAYANNEMUSIC takes over the Wang Theatre stage THIS THURSDAY! Do you have your tickets? https://t.co/hpq1WSTNox #chayanne…",FALSE,0,NA,2018-09-26 14:37:04,FALSE,NA,"1044959040831393796",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chayanne_Peru",117,TRUE,FALSE,NA,NA
"161","Check out SCARCE PERU REAL 1773 LIMAE JM LOW GRADE SILVER COIN KM#75  https://t.co/EfaGZ964qm via @eBay",FALSE,0,NA,2018-09-26 14:06:04,FALSE,NA,"1044951241028227073",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zixaforevayoung",0,FALSE,FALSE,NA,NA
"162","#VideoDelDia No Lo Hagas - Vladimir Rap Serio
• 
• 
@vladimirapserio 
• 
• 
#elreinodedios #EstadosUnidos #Mexico… https://t.co/fKInKOrXF4",FALSE,0,NA,2018-09-26 14:00:07,TRUE,NA,"1044949743036764167",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Jhofely",1,FALSE,FALSE,NA,NA
"163","Top B2B Companies in Chile, Peru, Ecuador, Paraguay, Venezuela Announced for 2018 #B2B https://t.co/nhr4oCFHuZ",FALSE,0,NA,2018-09-26 13:16:37,FALSE,NA,"1044938795169325056",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","JosephConroyJr",0,FALSE,FALSE,NA,NA
"164","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 12:27:34,FALSE,NA,"1044926452678963201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClearAutism",8,TRUE,FALSE,NA,NA
"165","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 11:37:12,FALSE,NA,"1044913777391652864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmySequenzia",8,TRUE,FALSE,NA,NA
"166","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 06:17:53,FALSE,NA,"1044833419010682881",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","VivianaLaXicana",8,TRUE,FALSE,NA,NA
"167","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 06:02:49,FALSE,NA,"1044829625606709249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DisVisibility",8,TRUE,FALSE,NA,NA
"168","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 03:32:20,FALSE,NA,"1044791757018300416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bohner239",8,TRUE,FALSE,NA,NA
"169","RT @alvarobendrell: Perú presente en el #EnelFocusOn. Un gusto ver a @maralegre en la discusión sobre #ValorCompartido y participando sobre…",FALSE,0,NA,2018-09-26 03:11:54,FALSE,NA,"1044786612041916416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maralegre",1,TRUE,FALSE,NA,NA
"170","RT @7News: Bus falls into river in Peru, killing at least 21 people https://t.co/R3EjQzvr61",FALSE,0,NA,2018-09-26 02:45:40,FALSE,NA,"1044780010966585345",NA,"<a href=""http://www.aol.com"" rel=""nofollow"">MyBostonNews</a>","MyBostonNews",1,TRUE,FALSE,NA,NA
"171","Bus falls into river in Peru, killing at least 21 people https://t.co/R3EjQzvr61",FALSE,0,NA,2018-09-26 02:31:34,FALSE,NA,"1044776464841814017",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","7News",1,FALSE,FALSE,NA,NA
"172","RT @hwatkins927: ""Mummy of #paraplegic child shows how Peru’s Nasca culture treated #disability"" https://t.co/V5pTcurPJy",FALSE,0,NA,2018-09-26 01:38:38,FALSE,NA,"1044763141228449793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_halides",8,TRUE,FALSE,NA,NA
